数据库：月度数据
时间：最近13个月
指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
食品类居民消费价格指数(上年同月=100),99.8,98.6,96.7,100.4,99.5,101.0,102.9,103.3,102.8,100.0,97.9,98.0
粮食类居民消费价格指数(上年同月=100),98.6,98.5,98.7,98.6,98.7,98.9,99.3,99.3,99.9,100.1,100.4,100.5
畜肉类居民消费价格指数(上年同月=100),100.6,99.9,98.2,102.5,101.7,102.4,102.8,103.8,103.8,104.9,103.5,97.8
蛋类居民消费价格指数(上年同月=100),99.5,98.4,97.3,100.7,99.9,99.5,97.5,95.9,96.5,100.4,96.1,92.6
水产品类居民消费价格指数(上年同月=100),101.5,99.8,96.4,101.2,101.0,101.8,101.4,102.0,101.7,101.2,101.2,100.1
鲜菜类居民消费价格指数(上年同月=100),95.0,93.2,87.4,102.4,100.5,110.0,121.6,122.9,121.8,103.3,92.7,102.3
鲜果类居民消费价格指数(上年同月=100),105.2,100.9,98.2,100.6,97.0,99.7,104.7,106.7,104.1,95.8,91.3,93.3
食用油居民消费价格指数(上年同月=100),98.2,97.9,98.0,97.5,96.8,96.4,96.2,96.3,95.9,95.9,95.8,94.9
猪肉居民消费价格指数(上年同月=100),105.0,106.7,104.1,113.8,112.5,113.7,114.2,116.2,116.1,120.4,118.1,104.6
牛肉居民消费价格指数(上年同月=100),95.1,89.2,86.7,86.9,86.2,86.5,86.6,86.9,87.1,87.1,86.6,87.1
羊肉居民消费价格指数(上年同月=100),96.2,94.6,93.4,94.4,93.9,94.7,94.1,93.6,93.7,93.7,92.9,92.5
奶类居民消费价格指数(上年同月=100),98.8,98.3,98.6,98.3,98.4,98.6,98.3,98.1,98.3,98.1,98.2,98.3
卷烟居民消费价格指数(上年同月=100),100.2,100.3,100.4,100.5,100.7,100.6,100.7,100.8,100.9,101.0,101.1,101.1
酒类居民消费价格指数(上年同月=100),98.0,98.2,98.1,97.5,98.0,98.1,98.6,98.1,98.5,98.4,98.4,98.7
数据来源：国家统计局
