数据库：月度数据
时间：最近13个月
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月
农村商品零售价格指数(上年同月=100),102.1,102.0,102.6,103.7,103.6,104.0,104.2,103.6,103.6,102.7
食品类农村商品零售价格指数(上年同月=100),104.3,104.1,107.0,107.6,105.4,105.6,102.5,101.4,100.7,98.0
饮料、烟酒类农村商品零售价格指数(上年同月=100),101.5,101.5,101.7,101.6,101.4,101.3,101.5,101.5,101.6,101.7
服装、鞋帽类农村商品零售价格指数(上年同月=100),99.9,99.8,100.0,100.0,100.1,100.3,100.4,100.5,100.5,100.6
纺织品类农村商品零售价格指数(上年同月=100),100.0,100.2,100.6,100.8,100.9,101.1,101.3,101.2,101.2,101.2
家用电器及音像器材类农村商品零售价格指数(上年同月=100),99.2,99.3,100.3,100.2,100.4,101.0,100.8,101.3,101.9,102.4
文化办公用品类农村商品零售价格指数(上年同月=100),100.9,101.4,101.2,101.8,101.1,100.4,100.7,100.6,101.2,101.6
日用品类农村商品零售价格指数(上年同月=100),102.2,102.1,101.6,101.3,101.8,101.0,102.3,102.0,101.2,100.1
体育娱乐用品类农村商品零售价格指数(上年同月=100),101.1,100.8,102.0,101.3,101.7,102.1,102.0,102.1,101.6,101.0
交通、通信用品类农村商品零售价格指数(上年同月=100),99.0,98.8,99.2,99.0,99.3,99.4,99.5,99.5,99.6,99.9
家具类农村商品零售价格指数(上年同月=100),100.3,100.3,101.1,101.6,101.6,101.7,102.1,102.0,101.9,101.9
化妆品类农村商品零售价格指数(上年同月=100),104.8,105.1,103.9,104.8,103.3,104.3,104.4,103.5,101.3,99.6
金银珠宝类农村商品零售价格指数(上年同月=100),106.3,104.7,103.5,101.4,102.8,100.8,101.8,103.5,104.6,105.8
中西药品及医疗保健用品类农村商品零售价格指数(上年同月=100),100.8,100.5,100.1,100.1,100.2,100.2,100.2,100.3,100.1,99.9
书报杂志及电子出版物类农村商品零售价格指数(上年同月=100),101.6,101.6,101.4,101.3,101.4,101.0,101.4,101.5,100.9,101.0
燃料类农村商品零售价格指数(上年同月=100),108.2,108.0,107.9,116.8,119.0,122.9,130.3,126.8,127.7,124.8
建筑材料及五金电料类农村商品零售价格指数(上年同月=100),99.9,100.0,100.2,101.5,102.1,102.5,102.7,102.6,103.1,103.4
数据来源：国家统计局
