数据库：月度数据
时间：最近13个月
指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月
商品零售价格指数(上年同月=100),102.0,101.8,102.3,103.2,103.1,103.5,103.7,103.3,103.4,102.7
食品类商品零售价格指数(上年同月=100),103.9,103.3,105.6,106.9,104.9,105.1,102.7,102.3,102.1,99.7
饮料、烟酒类商品零售价格指数(上年同月=100),101.7,101.7,101.8,101.7,101.6,101.7,101.9,101.9,101.9,101.9
服装、鞋帽类商品零售价格指数(上年同月=100),100.5,100.6,100.4,100.5,100.5,100.7,100.6,100.5,100.5,100.6
纺织品类商品零售价格指数(上年同月=100),100.0,100.1,100.3,100.4,100.2,100.4,100.2,100.3,100.3,100.5
家用电器及音像器材类商品零售价格指数(上年同月=100),98.9,99.0,100.0,100.0,100.4,100.5,100.4,101.1,101.4,101.7
文化办公用品类商品零售价格指数(上年同月=100),100.7,101.2,100.7,101.5,101.1,100.3,100.7,100.5,100.8,101.1
日用品类商品零售价格指数(上年同月=100),102.4,102.2,101.6,101.5,101.9,101.0,102.3,101.8,100.9,99.9
体育娱乐用品类商品零售价格指数(上年同月=100),101.1,100.8,102.0,101.5,101.6,101.9,102.1,102.2,101.8,100.8
交通、通信用品类商品零售价格指数(上年同月=100),98.8,98.6,99.0,98.8,99.0,99.2,99.1,99.3,99.6,99.7
家具类商品零售价格指数(上年同月=100),100.4,100.4,101.0,101.1,101.1,101.2,101.4,101.5,101.5,101.5
化妆品类商品零售价格指数(上年同月=100),104.6,105.2,103.6,104.2,102.4,103.5,103.0,102.8,100.8,99.6
金银珠宝类商品零售价格指数(上年同月=100),108.4,105.0,103.6,100.7,102.4,98.3,99.5,101.0,102.6,106.3
中西药品及医疗保健用品类商品零售价格指数(上年同月=100),100.6,100.4,100.0,100.1,100.1,100.0,100.1,100.0,100.0,99.9
书报杂志及电子出版物类商品零售价格指数(上年同月=100),102.2,102.1,102.3,102.1,101.9,101.5,102.4,102.1,101.2,101.6
燃料类商品零售价格指数(上年同月=100),108.1,108.1,108.5,115.4,117.2,120.8,127.2,123.6,124.9,122.1
建筑材料及五金电料类商品零售价格指数(上年同月=100),99.9,100.1,100.5,101.5,101.8,102.2,102.3,102.3,102.8,103.0
数据来源：国家统计局
