数据库：月度数据
时间：最近13个月
指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
工业生产者购进价格指数(上年同月=100),97.3,97.6,97.7,97.7,97.7,97.5,97.3,97.8,99.2,99.9,99.5,98.3
燃料、动力类购进价格指数(上年同月=100),92.3,93.2,95.0,94.8,94.1,93.5,93.8,95.9,99.0,100.5,99.4,97.9
黑色金属材料类购进价格指数(上年同月=100),93.3,92.2,91.2,91.1,92.1,92.9,93.1,93.2,95.9,97.4,97.7,96.9
有色金属材料和电线类购进价格指数(上年同月=100),108.5,110.8,111.1,110.9,111.4,111.0,109.3,107.4,109.1,111.3,111.3,108.1
化工原料类购进价格指数(上年同月=100),95.9,96.6,96.1,95.9,95.3,95.0,94.7,96.7,99.4,100.6,99.3,97.1
木材及纸浆类购进价格指数(上年同月=100),96.9,97.3,97.6,97.5,97.7,98.0,99.0,99.9,100.3,99.9,99.3,98.2
建筑材料及非金属矿类购进价格指数(上年同月=100),98.6,97.9,97.7,97.7,97.7,97.3,95.9,95.8,95.6,94.8,93.1,91.6
其它工业原材料及半成品类购进价格指数(上年同月=100),98.4,98.4,98.4,98.6,98.7,98.5,98.3,98.3,98.6,98.6,98.7,98.5
农副产品类购进价格指数(上年同月=100),97.1,97.0,96.5,96.7,96.1,96.2,95.5,96.2,97.1,98.1,97.6,95.4
纺织原料类购进价格指数(上年同月=100),97.7,98.0,98.3,98.6,98.4,98.3,98.1,98.3,99.0,99.5,99.8,100.3
"注：国家统计局从2011年1月开始实施新的工业生产者价格统计调查制度方法。""工业品价格统计""改称为""工业生产者价格统计""，相应地将""原材料、燃料、动力购进价格指数""改称为""工业生产者购进价格指数""。"
数据来源：国家统计局
