指标,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月
居民消费价格指数(上年同月=100),99.9,99.9,99.3,100.5,100.1,100.2,100.3,100.4,100.6,100.5,100.2,100.3
食品烟酒类居民消费价格指数(上年同月=100),100.3,99.4,98.1,100.6,100,100.9,102,102.3,102.1,100.2,98.9,99
衣着类居民消费价格指数(上年同月=100),101.3,101.3,101.2,101.1,101.2,101.1,101.1,101.3,101.4,101.5,101.5,101.6
居住类居民消费价格指数(上年同月=100),100.1,100.1,100.1,100.1,100.1,99.9,99.9,99.9,100,100.1,100.2,100.2
生活用品及服务类居民消费价格指数(上年同月=100),100.2,100.6,99.3,98.9,99.3,99.7,100.1,100.1,100.2,100.7,100.9,100.8
交通通信类居民消费价格指数(上年同月=100),96.1,97.4,97.5,99.4,97.8,96.4,95.2,95.9,97.3,99.4,99.7,99.8
教育文化娱乐类居民消费价格指数(上年同月=100),100.7,100.8,99.5,101.7,100.9,101,100.8,100.6,101.3,101.7,101.7,101.7
医疗保健类居民消费价格指数(上年同月=100),100.2,100.1,100.2,100.7,100.9,101.1,101.1,101.2,101.3,101.4,101.5,101.5
其他用品及服务类居民消费价格指数(上年同月=100),106.6,106.2,106.5,105.4,104.9,105.2,104.7,103.5,103.4,104,104,103.6
非食品居民消费价格指数(上年同月=100),100,100.2,99.9,100.5,100.2,100,99.7,99.8,100.2,100.7,100.8,100.8
消费品居民消费价格指数(上年同月=100),99.7,99.6,99.1,100.1,99.8,100,100.2,100.5,100.7,100.5,99.9,100
服务居民消费价格指数(上年同月=100),100.3,100.3,99.6,101.1,100.5,100.4,100.4,100.2,100.5,100.6,100.7,100.8
不包括食品和能源居民消费价格指数(上年同月=100),100.5,100.5,99.9,100.6,100.4,100.3,100.2,100.1,100.3,100.4,100.6,100.6
