指标,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月
城市商品零售价格指数(上年同月=100),101.9,101.8,102.3,103.2,103.0,103.4,103.7,103.3,103.4,102.7
食品类城市商品零售价格指数(上年同月=100),103.9,103.1,105.4,106.8,104.8,105.0,102.7,102.4,102.4,99.9
饮料、烟酒类城市商品零售价格指数(上年同月=100),101.7,101.7,101.9,101.8,101.7,101.8,102.0,102.0,101.9,101.9
服装、鞋帽类城市商品零售价格指数(上年同月=100),100.6,100.7,100.5,100.6,100.6,100.8,100.7,100.5,100.4,100.6
纺织品类城市商品零售价格指数(上年同月=100),100.0,100.0,100.3,100.3,100.1,100.3,100.1,100.1,100.2,100.4
家用电器及音像器材类城市商品零售价格指数(上年同月=100),98.9,99.0,100.0,100.0,100.4,100.5,100.4,101.1,101.4,101.6
文化办公用品类城市商品零售价格指数(上年同月=100),100.7,101.1,100.7,101.4,101.1,100.2,100.7,100.5,100.8,101.1
日用品类城市商品零售价格指数(上年同月=100),102.4,102.3,101.7,101.5,101.9,101.0,102.3,101.7,100.8,99.8
体育娱乐用品类城市商品零售价格指数(上年同月=100),101.1,100.8,102.0,101.5,101.6,101.9,102.1,102.2,101.8,100.8
交通、通信用品类城市商品零售价格指数(上年同月=100),98.8,98.6,99.0,98.8,99.0,99.1,99.1,99.3,99.6,99.7
家具类城市商品零售价格指数(上年同月=100),100.4,100.4,101.0,101.1,101.0,101.1,101.3,101.4,101.5,101.5
化妆品类城市商品零售价格指数(上年同月=100),104.6,105.2,103.5,104.2,102.3,103.3,102.9,102.7,100.7,99.6
金银珠宝类城市商品零售价格指数(上年同月=100),108.7,105.0,103.7,100.6,102.4,97.9,99.3,100.7,102.4,106.3
中西药品及医疗保健用品类城市商品零售价格指数(上年同月=100),100.6,100.4,100.0,100.1,100.0,100.0,100.0,100.0,100.0,99.9
书报杂志及电子出版物类城市商品零售价格指数(上年同月=100),102.2,102.2,102.5,102.2,102.0,101.6,102.5,102.2,101.3,101.7
燃料类城市商品零售价格指数(上年同月=100),108.0,108.1,108.6,115.2,116.9,120.5,126.8,123.2,124.5,121.7
建筑材料及五金电料类城市商品零售价格指数(上年同月=100),99.9,100.1,100.5,101.5,101.7,102.1,102.2,102.2,102.7,102.9
